,Polarity
29703,4
17877,4
18067,4
9635,4
21644,4
7748,3
6642,3
28475,4
13424,4
11176,4
4132,3
15889,4
6616,3
7807,3
25582,4
1082,1
12304,4
2906,2
19747,4
17854,4
379,0
24022,4
25811,4
27605,4
841,1
9598,4
21111,4
18338,4
5124,3
23051,4
12523,4
22811,4
6795,3
10378,4
23925,4
3125,2
6381,3
10000,4
14281,4
5027,3
17561,4
24393,4
20684,4
18994,4
5075,3
19048,4
13840,4
4793,3
21929,4
19027,4
9228,3
7125,3
69,0
24524,4
1766,2
19338,4
23640,4
26762,4
25368,4
28492,4
17081,4
17417,4
16111,4
230,0
9037,3
28959,4
21390,4
1892,2
21221,4
11540,4
14328,4
6901,3
5265,3
15628,4
1839,2
8908,3
386,0
29335,4
735,1
316,0
14650,4
13579,4
9980,4
2877,2
28440,4
28674,4
5754,3
5338,3
3111,2
17171,4
17295,4
7016,3
12422,4
4104,3
16435,4
9105,3
21965,4
24075,4
21571,4
26149,4
7313,3
21044,4
9148,3
7449,3
2948,2
15726,4
20404,4
29038,4
731,1
4686,3
5485,3
18139,4
17188,4
29543,4
29065,4
4511,3
24588,4
24589,4
5916,3
6962,3
626,1
16509,4
21586,4
18761,4
16829,4
25017,4
15807,4
6123,3
5496,3
6605,3
12503,4
2006,2
25100,4
13796,4
25114,4
26336,4
23824,4
21899,4
16378,4
28939,4
28474,4
12878,4
25460,4
18585,4
15607,4
21015,4
15903,4
8677,3
2866,2
17251,4
21513,4
2833,2
9577,4
16989,4
15353,4
5609,3
2557,2
12063,4
24493,4
19632,4
18258,4
17582,4
14097,4
24049,4
9110,3
25879,4
11295,4
54,0
18169,4
14940,4
3519,3
14806,4
30199,4
2898,2
5563,3
12641,4
13598,4
10075,4
4092,3
26434,4
25629,4
20759,4
5144,3
24793,4
2910,2
13482,4
18643,4
907,1
25217,4
20517,4
1748,2
20678,4
10710,4
20937,4
13976,4
12315,4
15958,4
3796,3
14035,4
18319,4
28824,4
14556,4
21017,4
21350,4
21074,4
27411,4
21085,4
25183,4
21268,4
923,1
8451,3
25421,4
22316,4
7228,3
21990,4
13014,4
7996,3
8639,3
19344,4
26269,4
21921,4
13530,4
26641,4
29397,4
27726,4
15562,4
11236,4
8887,3
18591,4
26601,4
15579,4
2127,2
7576,3
16631,4
6396,3
19561,4
25623,4
29713,4
15307,4
2284,2
9108,3
3998,3
1170,1
29282,4
19627,4
1101,1
3561,3
27056,4
21641,4
18906,4
10671,4
19479,4
15123,4
26648,4
4553,3
17145,4
18749,4
27602,4
14902,4
5150,3
3886,3
21790,4
17176,4
29737,4
4368,3
8153,3
1909,2
13368,4
15332,4
22524,4
3981,3
3049,2
2758,2
22788,4
20578,4
23095,4
27608,4
15007,4
5039,3
18939,4
6391,3
4612,3
21388,4
7886,3
12005,4
9722,4
3357,2
21632,4
29654,4
19891,4
7222,3
4034,3
22620,4
18736,4
1346,2
18503,4
6737,3
8386,3
21158,4
1336,2
1802,2
29181,4
28191,4
19056,4
26787,4
5587,3
19461,4
11293,4
3937,3
29563,4
5571,3
28567,4
2030,2
19257,4
17695,4
314,0
14453,4
57,0
1654,2
12925,4
19681,4
16827,4
15835,4
1557,2
22060,4
5498,3
18872,4
17007,4
21259,4
19374,4
28555,4
25462,4
1298,2
18642,4
27799,4
20175,4
5239,3
21925,4
23545,4
21461,4
8281,3
8190,3
6029,3
4574,3
14756,4
4349,3
893,1
17929,4
20260,4
8892,3
23611,4
548,1
28589,4
4482,3
29662,4
27988,4
4287,3
1890,2
4906,3
1290,2
23434,4
27982,4
10794,4
2889,2
741,1
26162,4
26819,4
22688,4
11126,4
7781,3
16240,4
13709,4
28843,4
29374,4
19109,4
9995,4
21651,4
18829,4
15303,4
5087,3
28586,4
25780,4
2695,2
15618,4
9362,4
5790,3
7041,3
3301,2
24554,4
2787,2
4452,3
28602,4
15784,4
12331,4
10918,4
27344,4
1205,1
330,0
11156,4
8503,3
2628,2
27824,4
2058,2
20143,4
8318,3
14771,4
25184,4
834,1
4917,3
3990,3
13343,4
28102,4
4124,3
28332,4
359,0
21879,4
22176,4
13830,4
26494,4
20068,4
9618,4
13333,4
16890,4
28643,4
13687,4
2150,2
20177,4
3939,3
25662,4
13590,4
15996,4
15632,4
18021,4
6147,3
6769,3
26122,4
26928,4
1374,2
22980,4
12248,4
5046,3
2291,2
27368,4
18556,4
2840,2
4013,3
16522,4
2117,2
13429,4
27673,4
8231,3
13929,4
20554,4
29348,4
29195,4
8801,3
11917,4
11407,4
15802,4
7445,3
20221,4
13488,4
24413,4
8428,3
19936,4
7054,3
25892,4
14585,4
2755,2
27971,4
13492,4
3489,3
30033,4
10390,4
22304,4
6422,3
221,0
10292,4
26470,4
15563,4
412,0
2706,2
19331,4
13881,4
9882,4
22468,4
21813,4
15665,4
8563,3
10291,4
21144,4
10991,4
23,0
26557,4
17358,4
5254,3
15023,4
23387,4
28215,4
26059,4
21435,4
26435,4
26859,4
27019,4
23215,4
4159,3
14780,4
20902,4
26703,4
20210,4
12173,4
27349,4
28096,4
1294,2
21766,4
11402,4
10769,4
11405,4
12463,4
2623,2
24605,4
5093,3
11765,4
13897,4
18762,4
28459,4
6872,3
18276,4
13564,4
29991,4
20250,4
18601,4
29636,4
22759,4
13932,4
5630,3
3853,3
15107,4
2373,2
1279,2
29203,4
27045,4
13232,4
30209,4
12470,4
16185,4
12121,4
674,1
15085,4
17970,4
13364,4
29791,4
23808,4
9521,4
29558,4
819,1
11261,4
26273,4
20725,4
8406,3
15227,4
2134,2
25065,4
19105,4
3264,2
11485,4
29168,4
19831,4
28540,4
14773,4
22076,4
1265,1
23806,4
9008,3
9951,4
18378,4
3443,3
29093,4
4129,3
5716,3
13704,4
8132,3
17389,4
11066,4
20538,4
8073,3
16471,4
462,0
23667,4
5276,3
9462,4
22378,4
3588,3
10806,4
29292,4
25934,4
7936,3
14828,4
2375,2
21799,4
15915,4
9743,4
27777,4
8154,3
13895,4
29069,4
26658,4
8166,3
21079,4
28451,4
23419,4
16537,4
10852,4
7844,3
10077,4
6666,3
17982,4
20225,4
7446,3
1027,1
15070,4
22974,4
18433,4
22291,4
15525,4
8197,3
9359,4
18927,4
15806,4
12780,4
16007,4
20377,4
3677,3
19948,4
25846,4
22025,4
21292,4
21588,4
5849,3
16625,4
16175,4
11201,4
21593,4
14735,4
23242,4
19519,4
9026,3
16817,4
8506,3
6676,3
1973,2
2944,2
24916,4
2031,2
19631,4
23444,4
7629,3
9282,4
19822,4
9270,3
15970,4
420,0
6692,3
657,1
24117,4
8812,3
15964,4
15159,4
22817,4
17934,4
6337,3
25300,4
28190,4
21051,4
14214,4
11764,4
27232,4
20087,4
707,1
24540,4
13218,4
26734,4
8777,3
9036,3
29503,4
28709,4
20605,4
11180,4
29231,4
14450,4
26055,4
24832,4
21115,4
25082,4
8458,3
16828,4
12052,4
20796,4
21142,4
28158,4
9970,4
21263,4
23791,4
8351,3
14456,4
26712,4
18505,4
27613,4
338,0
23542,4
25442,4
2417,2
14138,4
27159,4
11313,4
28377,4
28213,4
12351,4
6725,3
23159,4
12673,4
21772,4
15664,4
4307,3
3970,3
7730,3
11797,4
3763,3
10820,4
1242,1
28462,4
13649,4
644,1
4773,3
10551,4
8229,3
12927,4
14011,4
2738,2
13765,4
16748,4
16820,4
5204,3
28170,4
11496,4
13636,4
4891,3
24429,4
28223,4
4044,3
4328,3
15953,4
10733,4
3437,3
12020,4
25733,4
24834,4
3691,3
18422,4
29846,4
7679,3
9471,4
2510,2
3578,3
19640,4
7735,3
9043,3
16034,4
25032,4
21065,4
23029,4
10164,4
2664,2
24490,4
3341,2
2688,2
11204,4
24249,4
2364,2
27035,4
4761,3
6803,3
17772,4
26665,4
10347,4
13445,4
14619,4
1920,2
9410,4
22101,4
30143,4
25219,4
3478,3
18113,4
16720,4
17636,4
2930,2
29670,4
11528,4
17898,4
13727,4
5906,3
30121,4
29650,4
26314,4
3331,2
19734,4
8247,3
10668,4
23639,4
5499,3
29156,4
16993,4
13864,4
17807,4
15703,4
28360,4
622,1
26889,4
29153,4
9295,4
4568,3
25469,4
1457,2
19071,4
13203,4
11104,4
21876,4
24964,4
1249,1
537,0
24965,4
18940,4
23869,4
28381,4
3260,2
5937,3
11121,4
27127,4
13874,4
3411,3
25472,4
2913,2
17662,4
8805,3
10472,4
11623,4
5892,3
14547,4
14637,4
27966,4
20251,4
8046,3
12167,4
7043,3
15672,4
26082,4
177,0
12568,4
19414,4
26810,4
18633,4
2981,2
17195,4
17380,4
10446,4
25133,4
7767,3
23725,4
6527,3
9751,4
8718,3
21319,4
3710,3
2565,2
3200,2
15712,4
28084,4
13702,4
6767,3
10555,4
19628,4
8876,3
19813,4
7232,3
9335,4
9939,4
19710,4
1597,2
6941,3
1367,2
9214,3
22312,4
18131,4
20162,4
5145,3
6227,3
3276,2
16284,4
268,0
26573,4
21581,4
22020,4
7552,3
7080,3
6138,3
19358,4
14591,4
12850,4
21621,4
26850,4
25805,4
5592,3
16872,4
15147,4
12294,4
25563,4
8891,3
17293,4
29393,4
2163,2
14436,4
9371,4
83,0
29505,4
9727,4
7062,3
17732,4
17149,4
3297,2
15338,4
5030,3
20844,4
7135,3
30166,4
9891,4
12937,4
909,1
18426,4
25325,4
5435,3
19829,4
17445,4
25641,4
1857,2
13283,4
29170,4
20320,4
18708,4
14143,4
3070,2
21305,4
6461,3
27639,4
1251,1
11094,4
23515,4
6893,3
11548,4
9920,4
22440,4
26264,4
428,0
18751,4
22318,4
24084,4
8827,3
21606,4
28999,4
27652,4
816,1
8611,3
14060,4
16107,4
8211,3
3397,2
17524,4
12175,4
18097,4
3177,2
24944,4
10579,4
22798,4
21568,4
18297,4
6132,3
16144,4
10510,4
720,1
3272,2
10600,4
6151,3
28153,4
2594,2
17148,4
28850,4
1958,2
9420,4
9989,4
25590,4
29233,4
11685,4
3644,3
15188,4
14675,4
9332,4
2655,2
21425,4
21694,4
25008,4
20920,4
3180,2
15090,4
16525,4
10438,4
25362,4
27191,4
12388,4
10318,4
8315,3
11532,4
28167,4
6716,3
1875,2
17083,4
24910,4
11987,4
2225,2
15622,4
18259,4
1316,2
17457,4
27955,4
2832,2
24058,4
14228,4
27583,4
9585,4
20877,4
30085,4
29142,4
14580,4
17488,4
22699,4
28206,4
5693,3
23713,4
18368,4
25186,4
28456,4
19531,4
1813,2
5237,3
13844,4
8446,3
19858,4
9739,4
17437,4
28505,4
9140,3
8784,3
1464,2
6997,3
16046,4
9963,4
7397,3
5958,3
16491,4
26404,4
20864,4
6023,3
1860,2
24917,4
25345,4
11072,4
18462,4
14028,4
4944,3
24088,4
18848,4
22982,4
1494,2
25440,4
3286,2
29738,4
25071,4
1041,1
6813,3
3615,3
28937,4
1191,1
22804,4
13914,4
16657,4
18331,4
15604,4
18339,4
19182,4
12976,4
11185,4
21706,4
2307,2
24576,4
21166,4
1214,1
14673,4
17906,4
4645,3
5909,3
20209,4
10780,4
6645,3
19326,4
15024,4
12666,4
7003,3
560,1
27835,4
26899,4
26838,4
1461,2
13950,4
25613,4
14617,4
16123,4
1223,1
8064,3
13138,4
21010,4
26723,4
29460,4
16565,4
3908,3
267,0
3799,3
20136,4
7076,3
4243,3
27470,4
11178,4
23660,4
10253,4
16874,4
17723,4
26940,4
3405,3
13390,4
30124,4
3390,2
21123,4
14408,4
14169,4
26541,4
25686,4
23330,4
24656,4
1595,2
21997,4
18821,4
29577,4
13167,4
9982,4
13666,4
4280,3
16732,4
26764,4
11197,4
12911,4
415,0
827,1
25885,4
19787,4
5164,3
627,1
19260,4
10370,4
20814,4
5656,3
14033,4
750,1
3132,2
18752,4
7940,3
28222,4
26316,4
22278,4
3342,2
6984,3
26937,4
11544,4
6415,3
25030,4
19250,4
30171,4
7553,3
12537,4
27270,4
8509,3
7902,3
2202,2
24365,4
15834,4
6838,3
25199,4
1607,2
7186,3
18484,4
10880,4
15551,4
26468,4
28146,4
20312,4
3190,2
7724,3
26811,4
17864,4
8778,3
29536,4
14368,4
28357,4
8270,3
11207,4
18104,4
19893,4
15334,4
15458,4
1305,2
17305,4
10716,4
20808,4
5173,3
12894,4
10973,4
23166,4
19321,4
6717,3
7441,3
17236,4
15558,4
11054,4
12317,4
12185,4
23620,4
18722,4
2277,2
4262,3
3907,3
8405,3
15009,4
16047,4
3760,3
7564,3
8399,3
2617,2
21011,4
21375,4
1356,2
29818,4
29596,4
21046,4
19910,4
9706,4
19030,4
29219,4
22648,4
19017,4
17192,4
29247,4
7699,3
24331,4
24012,4
24808,4
4841,3
11973,4
1834,2
13887,4
15062,4
16893,4
25103,4
8437,3
13175,4
27848,4
8930,3
25802,4
21336,4
11032,4
14745,4
6500,3
26622,4
25671,4
29657,4
26173,4
24835,4
17526,4
5190,3
18740,4
27774,4
347,0
461,0
27261,4
29827,4
3550,3
27072,4
20014,4
17379,4
12556,4
29031,4
2253,2
13095,4
5905,3
13911,4
13529,4
12128,4
19119,4
5260,3
25428,4
28765,4
17405,4
1729,2
19877,4
25551,4
30158,4
29438,4
11645,4
21316,4
20354,4
14481,4
17523,4
3493,3
4213,3
7387,3
18594,4
18969,4
20653,4
1292,2
6393,3
726,1
20845,4
7981,3
25515,4
14713,4
17340,4
11169,4
14975,4
6313,3
20595,4
7915,3
5079,3
10091,4
11098,4
7212,3
19750,4
14923,4
27413,4
5269,3
12103,4
2313,2
6125,3
3757,3
28271,4
10855,4
10882,4
1347,2
20972,4
25716,4
21168,4
6395,3
25480,4
14793,4
25132,4
3504,3
13761,4
1594,2
25165,4
18531,4
17227,4
12219,4
21875,4
13673,4
3218,2
16033,4
18793,4
23662,4
9811,4
22715,4
27709,4
10598,4
2106,2
26034,4
21334,4
7185,3
3409,3
9757,4
8205,3
4318,3
13070,4
17023,4
13974,4
18726,4
26356,4
3715,3
260,0
25121,4
12799,4
15846,4
2239,2
29431,4
6116,3
12337,4
22706,4
8835,3
12009,4
9314,4
23722,4
15422,4
10665,4
23337,4
12288,4
25099,4
6022,3
4728,3
6406,3
701,1
5665,3
28435,4
26962,4
489,0
10228,4
362,0
3792,3
14021,4
17400,4
17478,4
29938,4
20156,4
4880,3
28598,4
28521,4
18884,4
2573,2
26010,4
20489,4
2320,2
5788,3
26971,4
12943,4
28294,4
29772,4
2493,2
6917,3
1527,2
26537,4
15555,4
20469,4
28720,4
26154,4
16737,4
16803,4
29942,4
28965,4
4904,3
3669,3
24454,4
6220,3
26223,4
22584,4
844,1
18941,4
3622,3
4190,3
26258,4
18742,4
2346,2
16035,4
5583,3
28822,4
772,1
8999,3
810,1
11415,4
19436,4
21617,4
337,0
19006,4
7364,3
19360,4
27688,4
2729,2
17661,4
29699,4
18860,4
23128,4
22089,4
30038,4
27485,4
11167,4
3747,3
1700,2
2595,2
1077,1
3425,3
18179,4
18774,4
9239,3
19043,4
24823,4
41,0
23074,4
13833,4
102,0
1995,2
11865,4
19648,4
3266,2
20581,4
4086,3
6712,3
20019,4
1723,2
26710,4
25016,4
11025,4
3307,2
2974,2
23912,4
24484,4
4636,3
11664,4
21100,4
7447,3
747,1
26334,4
14076,4
2084,2
5009,3
7664,3
11551,4
8613,3
27779,4
15032,4
8453,3
23009,4
16830,4
2591,2
27207,4
17129,4
6236,3
101,0
18285,4
30202,4
134,0
6493,3
16393,4
21373,4
225,0
1854,2
26105,4
2876,2
6282,3
14351,4
7840,3
3539,3
12782,4
18340,4
1972,2
10026,4
27949,4
4765,3
28845,4
6050,3
4789,3
17051,4
11373,4
24794,4
5043,3
7421,3
24759,4
29442,4
21322,4
22262,4
17975,4
11091,4
11522,4
11779,4
29625,4
23742,4
242,0
2041,2
20921,4
6184,3
7725,3
5170,3
20099,4
3059,2
7082,3
16163,4
27033,4
2490,2
6195,3
21103,4
1521,2
20261,4
13054,4
22814,4
4484,3
2784,2
16066,4
8360,3
10854,4
4921,3
14844,4
24992,4
28443,4
5116,3
10787,4
11713,4
2528,2
8370,3
26540,4
3384,2
8607,3
8164,3
30105,4
24719,4
3575,3
837,1
4048,3
7963,3
18267,4
28029,4
4721,3
187,0
24236,4
4554,3
8522,3
11163,4
27881,4
25547,4
26894,4
9384,4
6398,3
23820,4
18563,4
10657,4
28365,4
4642,3
16125,4
28180,4
25265,4
6448,3
23119,4
8395,3
10381,4
5119,3
26037,4
24181,4
27961,4
8302,3
25635,4
22037,4
3485,3
24862,4
20204,4
12814,4
14174,4
5022,3
17923,4
8371,3
13975,4
25075,4
26567,4
19646,4
15234,4
20328,4
5850,3
22053,4
12787,4
24771,4
6250,3
24157,4
21827,4
26611,4
6535,3
14786,4
437,0
14400,4
7977,3
21035,4
356,0
21719,4
16177,4
21570,4
610,1
21084,4
17966,4
14639,4
9333,4
29350,4
28389,4
26587,4
4338,3
6226,3
11954,4
16480,4
5437,3
5026,3
16618,4
3627,3
17169,4
12553,4
12626,4
21043,4
13861,4
22651,4
21582,4
7700,3
25516,4
16802,4
19396,4
13004,4
26906,4
28791,4
1055,1
25245,4
14347,4
1274,1
21309,4
18289,4
22288,4
26072,4
7,0
5408,3
1273,1
15684,4
11232,4
7360,3
4018,3
25941,4
2122,2
293,0
12095,4
21687,4
21797,4
546,0
23004,4
1776,2
22645,4
11925,4
23761,4
29302,4
4297,3
19309,4
2699,2
27880,4
6783,3
13194,4
8796,3
23501,4
20620,4
27404,4
24086,4
12552,4
23078,4
6018,3
14638,4
6277,3
21153,4
26596,4
20314,4
20365,4
29633,4
6829,3
28436,4
7830,3
22516,4
23454,4
24993,4
25757,4
19242,4
9197,3
16428,4
16706,4
28284,4
19762,4
12354,4
14761,4
30049,4
10453,4
4091,3
29066,4
24836,4
14470,4
30106,4
25630,4
12693,4
20173,4
11900,4
12959,4
124,0
1424,2
17054,4
28672,4
10879,4
17650,4
9923,4
21703,4
20801,4
1795,2
16800,4
2363,2
28024,4
28580,4
22944,4
15017,4
18460,4
2294,2
2857,2
2732,2
7104,3
13266,4
12117,4
4020,3
3370,2
13925,4
28081,4
25855,4
28269,4
29903,4
10307,4
6821,3
26957,4
23372,4
6177,3
9319,4
16593,4
8108,3
16445,4
6162,3
21212,4
26390,4
18844,4
12316,4
3290,2
11539,4
28441,4
28245,4
12441,4
10539,4
14499,4
22831,4
12801,4
10061,4
27216,4
12871,4
6768,3
19664,4
1094,1
8655,3
9683,4
5948,3
6161,3
11808,4
29923,4
23797,4
2186,2
14119,4
3545,3
23519,4
5982,3
9168,3
26272,4
14091,4
2423,2
14730,4
15471,4
29571,4
20795,4
13547,4
27927,4
7108,3
7743,3
17869,4
8226,3
20285,4
6710,3
9547,4
3783,3
25558,4
23273,4
30109,4
9126,3
11670,4
26185,4
7989,3
1383,2
18590,4
22812,4
581,1
3257,2
4506,3
17026,4
13084,4
16594,4
2096,2
23880,4
20337,4
5135,3
1887,2
514,0
25954,4
18542,4
27928,4
7793,3
9286,4
14743,4
2865,2
13938,4
15116,4
17496,4
17494,4
2748,2
11097,4
23448,4
10402,4
20771,4
6742,3
7209,3
19563,4
7866,3
11751,4
11498,4
26283,4
23961,4
10119,4
5803,3
911,1
6612,3
8349,3
518,0
7504,3
15965,4
29955,4
3557,3
5733,3
28795,4
2966,2
10725,4
11791,4
18428,4
5983,3
1624,2
10340,4
2379,2
3210,2
20494,4
20232,4
28968,4
12547,4
27230,4
1114,1
19792,4
13495,4
13294,4
18610,4
19953,4
21692,4
7873,3
11693,4
20843,4
11473,4
3881,3
14904,4
25898,4
7225,3
15623,4
12165,4
14668,4
9540,4
21475,4
3063,2
19566,4
4372,3
9645,4
17687,4
15301,4
12310,4
28763,4
23593,4
8923,3
8701,3
16364,4
11558,4
23041,4
14807,4
21337,4
21430,4
15139,4
817,1
29528,4
25829,4
3773,3
9094,3
26965,4
227,0
3906,3
22732,4
24001,4
29463,4
21252,4
3069,2
26888,4
22809,4
3314,2
10898,4
16494,4
18306,4
17743,4
23550,4
4220,3
11116,4
29817,4
17716,4
19191,4
13245,4
13999,4
23466,4
7745,3
14955,4
29016,4
27675,4
3567,3
7974,3
21020,4
6721,3
18865,4
27535,4
29138,4
1558,2
2929,2
5214,3
6413,3
3709,3
22073,4
6446,3
13799,4
10232,4
19933,4
18587,4
11374,4
27760,4
25524,4
14988,4
5797,3
19364,4
28725,4
26457,4
17988,4
6937,3
12273,4
22892,4
21856,4
24594,4
19971,4
24907,4
23140,4
15862,4
20335,4
25119,4
248,0
5561,3
5401,3
12163,4
28704,4
11101,4
26044,4
311,0
28852,4
25465,4
11095,4
21093,4
20641,4
8322,3
10574,4
7340,3
29765,4
12094,4
26385,4
59,0
20713,4
7402,3
15656,4
28777,4
20769,4
15593,4
1380,2
10995,4
19851,4
27700,4
18365,4
16072,4
29238,4
17112,4
18997,4
1899,2
12887,4
23832,4
1183,1
6647,3
14528,4
8689,3
11873,4
23933,4
1439,2
29542,4
11711,4
18987,4
24105,4
12474,4
23361,4
18737,4
2242,2
6031,3
10497,4
6531,3
10494,4
15439,4
20325,4
6779,3
1222,1
6797,3
22038,4
18040,4
28047,4
22692,4
18005,4
22989,4
15813,4
4353,3
30072,4
6298,3
2978,2
11090,4
6966,3
25767,4
4659,3
15987,4
5706,3
8703,3
592,1
14066,4
13654,4
18891,4
3095,2
18074,4
24433,4
25601,4
15883,4
22282,4
26846,4
22148,4
17252,4
17985,4
16669,4
14455,4
19881,4
13166,4
19887,4
1204,1
23123,4
10570,4
8764,3
29215,4
14948,4
25637,4
11036,4
21281,4
30173,4
17600,4
10609,4
22745,4
14699,4
26156,4
9069,3
3776,3
22615,4
1161,1
16002,4
4698,3
14392,4
1175,1
22866,4
8813,3
10590,4
10561,4
23364,4
29005,4
7892,3
3942,3
29398,4
12765,4
22880,4
22525,4
3932,3
21193,4
4877,3
30004,4
27948,4
2997,2
9162,3
7757,3
11742,4
20999,4
16974,4
15934,4
17608,4
5394,3
19290,4
12984,4
26005,4
9921,4
29012,4
4266,3
14124,4
12636,4
16320,4
28030,4
28612,4
8570,3
25924,4
9302,4
11278,4
3787,3
3017,2
29198,4
14308,4
11452,4
27666,4
21949,4
30070,4
15075,4
17442,4
23853,4
25919,4
19921,4
12241,4
10139,4
8897,3
17232,4
19495,4
24202,4
22888,4
4001,3
29676,4
95,0
6385,3
12407,4
28690,4
22618,4
11418,4
10712,4
22467,4
14935,4
972,1
17137,4
14677,4
27333,4
24191,4
28616,4
6933,3
18241,4
24327,4
18429,4
22520,4
28933,4
12579,4
29082,4
9259,3
2391,2
25125,4
9238,3
